SYSTEM:Time.1(s)	Veh_SIP:vehicle.acc.x.2(m_s2)	Veh_SIP:vehicle.acc.y.3(m_s2)	Veh_SIP:vehicle.acc.z.4(m_s2)	Veh_SIP:vehicle.z.5(mm)
0.000	0.004	0.001	-0.002	1285.440
0.010	0.507	0.011	-0.744	1285.426
0.020	1.341	0.031	-1.100	1285.341
0.030	1.823	0.041	-1.061	1285.149
0.040	1.628	0.033	-0.733	1284.853
0.050	1.000	0.012	-0.295	1284.485
0.060	0.522	-0.009	0.067	1284.087
0.070	0.642	-0.018	0.218	1283.694
0.080	1.313	-0.013	0.116	1283.319
0.090	2.043	0.001	-0.183	1282.955
0.100	2.171	0.015	-0.543	1282.572
0.110	1.262	0.027	-0.785	1282.136
0.120	-0.533	0.037	-0.745	1281.625
0.130	-2.419	0.044	-0.340	1281.042
0.140	-3.463	0.046	0.392	1280.428
0.150	-3.217	0.035	1.282	1279.856
0.160	-1.991	0.011	2.077	1279.412
0.170	-0.519	-0.020	2.519	1279.173
0.180	0.535	-0.051	2.432	1279.183
0.190	0.882	-0.069	1.784	1279.430
0.200	0.611	-0.074	0.711	1279.852
0.210	0.108	-0.073	-0.511	1280.342
0.220	-0.216	-0.070	-1.558	1280.783
0.230	-0.208	-0.060	-2.163	1281.073
0.240	-0.023	-0.044	-2.196	1281.153
0.250	0.026	-0.020	-1.704	1281.017
0.260	-0.232	0.006	-0.887	1280.713
0.270	-0.668	0.027	-0.023	1280.320
0.280	-0.952	0.039	0.624	1279.924
0.290	-0.808	0.045	0.889	1279.588
0.300	-0.255	0.046	0.747	1279.338
0.310	0.412	0.044	0.301	1279.160
0.320	0.802	0.040	-0.267	1279.013
0.330	0.631	0.035	-0.745	1278.842
0.340	-0.108	0.029	-0.964	1278.601
0.350	-1.154	0.025	-0.846	1278.267
0.360	-2.164	0.021	-0.411	1277.852
0.370	-2.836	0.019	0.225	1277.400
0.380	-3.001	0.016	0.899	1276.976
0.390	-2.697	0.006	1.449	1276.642
0.400	-2.070	-0.014	1.736	1276.454
0.410	-1.261	-0.043	1.690	1276.437
0.420	-0.372	-0.077	1.315	1276.588
0.430	0.485	-0.105	0.694	1276.870
0.440	1.117	-0.124	-0.036	1277.220
0.450	1.358	-0.136	-0.705	1277.567
0.460	1.229	-0.133	-1.162	1277.845
0.470	0.944	-0.109	-1.312	1278.009
0.480	0.775	-0.066	-1.149	1278.045
0.490	0.855	-0.015	-0.751	1277.971
0.500	1.145	0.033	-0.242	1277.822
0.510	1.481	0.071	0.229	1277.647
0.520	1.673	0.097	0.529	1277.492
0.530	1.649	0.114	0.588	1277.388
0.540	1.486	0.121	0.415	1277.339
0.550	1.330	0.115	0.078	1277.331
0.560	1.271	0.099	-0.315	1277.331
0.570	1.261	0.080	-0.645	1277.301
0.580	1.131	0.066	-0.822	1277.208
0.590	0.704	0.064	-0.799	1277.035
0.600	-0.054	0.057	-0.578	1276.784
0.610	-0.917	0.045	-0.207	1276.477
0.620	-1.525	0.020	0.238	1276.150
0.630	-1.598	-0.015	0.658	1275.846
0.640	-1.108	-0.051	0.958	1275.607
0.650	-0.271	-0.087	1.066	1275.461
0.660	0.586	-0.120	0.952	1275.420
0.670	1.143	-0.140	0.643	1275.473
0.680	1.240	-0.139	0.217	1275.588
0.690	0.974	-0.119	-0.211	1275.725
0.700	0.609	-0.086	-0.524	1275.841
0.710	0.394	-0.043	-0.640	1275.906
0.720	0.377	-0.000	-0.544	1275.909
0.730	0.453	0.037	-0.284	1275.859
0.740	0.457	0.067	0.047	1275.779
0.750	0.290	0.092	0.327	1275.702
0.760	-0.002	0.110	0.456	1275.654
0.770	-0.256	0.117	0.384	1275.648
0.780	-0.342	0.114	0.125	1275.681
0.790	-0.285	0.107	-0.239	1275.727
0.800	-0.284	0.101	-0.591	1275.749
0.810	-0.563	0.095	-0.816	1275.714
0.820	-1.211	0.084	-0.833	1275.600
0.830	-2.077	0.061	-0.613	1275.409
0.840	-2.824	0.023	-0.192	1275.161
0.850	-3.095	-0.026	0.336	1274.899
0.860	-2.737	-0.077	0.840	1274.675
0.870	-1.885	-0.120	1.185	1274.538
0.880	-0.881	-0.145	1.275	1274.520
0.890	-0.087	-0.151	1.081	1274.630
0.900	0.296	-0.141	0.655	1274.846
0.910	0.303	-0.120	0.118	1275.126
0.920	0.161	-0.104	-0.381	1275.418
0.930	0.104	-0.090	-0.709	1275.673
0.940	0.221	-0.065	-0.795	1275.860
0.950	0.444	-0.024	-0.644	1275.969
0.960	0.622	0.026	-0.338	1276.014
0.970	0.653	0.069	-0.005	1276.024
0.980	0.567	0.097	0.229	1276.031
0.990	0.487	0.105	0.281	1276.059
1.000	0.524	0.098	0.131	1276.113
1.010	0.670	0.090	-0.163	1276.178
1.020	0.791	0.091	-0.493	1276.227
1.030	0.717	0.098	-0.737	1276.226
1.040	0.384	0.095	-0.805	1276.154
1.050	-0.129	0.068	-0.651	1276.005
1.060	-0.595	0.014	-0.291	1275.792
1.070	-0.747	-0.054	0.186	1275.551
1.080	-0.451	-0.109	0.654	1275.329
1.090	0.215	-0.131	0.981	1275.170
1.100	0.986	-0.119	1.072	1275.107
1.110	1.557	-0.090	0.899	1275.149
1.120	1.775	-0.067	0.516	1275.279
1.130	1.683	-0.068	0.031	1275.460
1.140	1.479	-0.083	-0.418	1275.645
1.150	1.373	-0.088	-0.710	1275.791
1.160	1.440	-0.059	-0.775	1275.868
1.170	1.586	0.001	-0.622	1275.869
1.180	1.642	0.065	-0.325	1275.807
1.190	1.506	0.103	-0.006	1275.712
1.200	1.233	0.103	0.221	1275.614
1.210	0.978	0.078	0.281	1275.535
1.220	0.865	0.055	0.160	1275.482
1.230	0.889	0.054	-0.090	1275.443
1.240	0.898	0.075	-0.372	1275.393
1.250	0.711	0.096	-0.577	1275.307
1.260	0.255	0.096	-0.628	1275.165
1.270	-0.390	0.065	-0.483	1274.963
1.280	-0.995	0.013	-0.162	1274.714
1.290	-1.307	-0.039	0.258	1274.450
1.300	-1.200	-0.066	0.668	1274.214
1.310	-0.748	-0.064	0.957	1274.045
1.320	-0.179	-0.045	1.047	1273.971
1.330	0.269	-0.028	0.914	1273.999
1.340	0.485	-0.024	0.600	1274.116
1.350	0.483	-0.033	0.189	1274.291
1.360	0.388	-0.042	-0.210	1274.487
1.370	0.336	-0.040	-0.496	1274.663
1.380	0.399	-0.022	-0.602	1274.793
1.390	0.532	0.009	-0.520	1274.862
1.400	0.622	0.038	-0.307	1274.879
1.410	0.594	0.051	-0.055	1274.864
1.420	0.474	0.043	0.142	1274.841
1.430	0.363	0.022	0.220	1274.830
1.440	0.347	0.005	0.159	1274.837
1.450	0.430	0.001	-0.012	1274.860
1.460	0.514	0.013	-0.221	1274.881
