TITLE = "Example: 3D FE-SURFACE ZONES -- p195 dataformat.pdf" 
VARIABLES = "X", "Y", "Z", "scalar" 
ZONE T="TRIANGLES", NODES=5, ELEMENTS=4, DATAPACKING=POINT, ZONETYPE=FETRIANGLE 
0.0 0.0 1.0 100
-1.0 -1.0 0.0 150
-1.0 1.0 0.0 100
1.0 1.0 0.0 120
1.0 -1.0 0.0 140
1 2 3 
1 3 4 
1 4 5 
1 5 2 
ZONE T="PURE-QUADS", NODES=8, ELEMENTS=4, DATAPACKING=POINT, ZONETYPE=FEQUADRILATERAL 
-1.0 -1.0 0.0 100
-1.0 1.0 0.0 120
1.0 1.0 0.0 180
1.0 -1.0 0.0 110
-1.0 -1.0 -1.0 160
-1.0 1.0 -1.0 140
1.0 1.0 -1.0 100
1.0 -1.0 -1.0 170
1 5 6 2 
2 6 7 3 
3 7 8 4 
4 8 5 1 
ZONE T="MIXED", NODES=6, ELEMENTS=4, DATAPACKING=POINT, ZONETYPE=FEQUADRILATERAL 
-1.0 -1.0 -1.0 150
-1.0 1.0 -1.0 140
1.0 1.0 -1.0 130
1.0 -1.0 -1.0 120
0.0 0.0 -2.0 110
1.0 0.0 -2.0 100
1 5 2 2 
2 5 6 3 
3 4 6 6 
4 1 5 6

